0	1	Sentiment
she should ask a few native americans what their take on this is	OFF	POS
go home youre drunk maga trump oncomingfist unitedstates oncomingfist	OFF	NEG
amazon is investigating chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace amazon maga kag china tcot	NOT	POS
someone shouldvetaken this piece of shit to a volcano facewithtearsofjoy	OFF	NEG
obama wanted liberals amp illegals to move into red states	NOT	POS
liberals are all kookoo	OFF	POS
oh noes tough shit	OFF	NEG
was literally just talking about this lol all mass shootings like that have been set ups its propaganda used to divide us on major issues like gun control and terrorism	OFF	NEG
buy more icecream	NOT	POS
canada doesnt need another cuck we already have enough looneyleft liberals fking up our great country qproofs trudeaumustgo	OFF	POS
its not my fault you support gun control	NOT	POS
whats the difference between kavanaugh and one of these men admitted to groping a  year old girl years ago  the other is going to be confirmed to the scj   demsarefrauds demsaredone   walkawaydemocrats redwave voteredsaveamerica trumptrain maga	NOT	POS
you are a lying corrupt traitor nobody wants to hear anymore of your lies deepstatecorruption	OFF	NEG
it should scare every american  she is playing hockey with a warped puck	NOT	NEG
i like my soda like i like my boarders with a lot of ice	NOT	POS
you are also the king of taste	NOT	POS
maga musicalnotes sing like no one is listening  heartsuit love like youve never been hurt  checkmark vote gop when no one is watching  hearnoevilmonkey  and dont listen to liberals dirt	NOT	POS
the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason guncontrol cdnpoli cdnhist	NOT	POS
besides jaxs mom and maybe ope he is hands down my favorite hes like the only good person on the show facewithtearsofjoy	NOT	POS
gun control that is all these kids are asking for	OFF	NEG
lol   throwing the bullshit flag on such nonsense  putuporshutup   kavanaugh   maga   callthevotealready	OFF	NEG
you are correct	NOT	POS
kind of like when conservatives wanna associate everyone to their left as communist antifa members	OFF	POS
da fuck is going on people   theres the mens room and the womens room  pick one and stick w it thinkingface	OFF	NEG
been a willie fan since before most of you were bornlove that he is holding a rally with beto exactly which fans are furious  could you give some specifics	NOT	NEG
tbh these days i just dont like people in general i just dont connect with people these days just a annoyance	OFF	NEG
south korean official leaders will discuss specific denuke measures in pyongyang  tcot maga rednationrising	NOT	POS
you can tell he is a hooper too	NOT	POS
i feel like he is better chasing the title	NOT	POS
she  to whom are you referring to  hillary  you know what is tiresome  bernie supporters bashing hillary clinton  she is an actual democrat who raises money for the democratic party and doesnt bash them  she has a positive message  so who is dividing the left	OFF	POS
glad to see your friends are supporting metis rights as much as you are supporting zionists	NOT	POS
yes you are but i was asking what is it about the movie manshrugging eyes	NOT	POS
the only thing the democrats have is lying and stalling to stop trump from being president  what have they done for you lately trump kavanaugh maga demsuck	OFF	NEG
no wonder he is being apologetic and more social these day	NOT	NEG
any updates re ending your blatant racism as windrush amp grenfell proves you are  alloutpolitics politicslive pmqs	NOT	NEG
do you know whats going to happen now  im going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa	NOT	POS
you are not very smart are you why do you think gen flynns sentencing keeps being rescheduled	OFF	NEG
thats expected if you placate the violent leftiststerrorists kavanaughconfirmation woke	OFF	NEG
blow hard	NOT	NEG
that means you are a max lvl twitter user and maybe should try a new game	NOT	POS
please explain what controlled opposition means  as for bernier escaping he split with the rest of the conservatives because hes even more racist and exclusionary than they want to be	NOT	NEG
socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem	NOT	NEG
nina  one of the reasons i didnt read this book for so long was because i was so worried about her character i shouldve trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect	NOT	POS
please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him    ruleoflaw matters metoo countryoverparty withdrawkavanaugh  stopkavanaugh	NOT	NEG
ppl who say im not racist are racist you are a racist repeat after me	NOT	POS
kathy the patriotstatueofliberty  you have to love our great president trump  a spine of us steel changing it on trade amp everything for americans americafirst usa maga leadership amp respect economy jobs peacethrustrength god bless trump amp theusa     grinningface statueofliberty statueofliberty statueofliberty grinningface	NOT	POS
wow you liberals really dont have a sense of humorfacewithrollingeyes	NOT	POS
im so fucking ready	NOT	POS
holy moly if the catholic people havent been awakened by this  falseprophet  lunatic	NOT	NEG
lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc	NOT	POS
what a surprise same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but its not gunna happen	NOT	NEG
me too her wedding was the best she is very pretty	NOT	POS
no conflict heredont look at this  soros involved in violent left agenda of antifa also	NOT	NEG
any of your announcements every come to fruition or is it basically stealing labours ideas to get a few more votes	NOT	NEG
out of  british people are basically fullon racists  out of  voters vote for the conservatives coincidence	OFF	NEG
guncontrol advocates must stop falling all over themselves to assure electorate that they too love the horrific a	NOT	NEG
hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material	NOT	POS
fuck off	OFF	NEG
certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities  id like to know if the black population that suffers the most shares her opinion	NOT	POS
the prison system is so fucked  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like  inmates went missing	OFF	NEG
she is useless  attempts to do the right thing but never follows through	OFF	NEG
walkaway liberalsyour party is poison	NOT	NEG
grateful trump doesnt have a dog in the white house he is a cruel man	OFF	NEG
you are lying stick with the facts we pay more than that now	NOT	NEG
trump kicks dem butt  its so fun	OFF	POS
he is dumb and dumber all in one president  its a two for one	OFF	NEG
toxictory minister attempted to expense  charity donation its what  do toriesmustgo dissolvetheunion	NOT	POS
ur so straight forword manokhand i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur seniorgreenheart artist love for manmarziyaan cowboyhatface thumbsup	NOT	POS
and this from the clown that should be in prison	OFF	NEG
did twitter silence alex jones in retaliation of him asking twitter jack questions	NOT	POS
thats because you are an old man	OFF	POS
they are obstructionists antiamerican pharisees ask them what they are running on and you get nothing maga	OFF	POS
no youre notyoure here  represent the alinskyite orwellian leftist toolampfool view on thingslike  of the marxistsampantifa similar upsst and bu use the words fascist or fascism again go ahead amp read dsouzas book the big lieright now u know squat about either	NOT	NEG
i do remember  but somehow centrist antifahaters can never quite seem to bring themselves to condemn such things	NOT	NEG
i mean it worked for gun control right	OFF	NEG
i think the last thing on the wh or trumps mind is april ryan she needs to stop flattering herself shes not as important as she thinks she is	NOT	NEG
principled conservatives are hypocrickets	NOT	POS
dont forget amp democrat backed antifa	NOT	POS
she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real redheart	NOT	POS
bring out his antifa criminal son to campaign for him	NOT	NEG
i didnt watch and will not watch watching the september th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this momentprotest on a saturday	NOT	POS
a tear is made of  water and  feelings	NOT	POS
trump addresses gun control representing the nra  i will not let you down he says	NOT	NEG
she is drinking so much koolaid shes bloated	OFF	POS
holder needs to be prosecuted	NOT	NEG
but but both players were women and both were women of color	NOT	POS
the institution only let her tweet when she behaves she is a window licker	OFF	POS
babysitting  kids  peoplehow old do you think she is she has three kids  medont get mad dont get mad they dont know they dont know	NOT	NEG
well	NOT	POS
wtc this is a threat maga qanon wakeupamerica	OFF	NEG
its easily digestible content   theres no need for nuance or to even understand the story  they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable	NOT	POS
try looking for plain old democrats  the liberals are the ones which you cant have a conversation with	NOT	POS
great news old moonbeam just went into a coma facewithtearsofjoy	NOT	POS
omg he is so extra ily	NOT	POS
please call trump out for what he isa narcissistic sociopath	OFF	POS
unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups	NOT	NEG
i know she is still alivebut wondering if her career was railroaded odd loved herespecially that day	NOT	POS
guy you are always presentbet why lol	NOT	POS
what a baby	NOT	POS
you are very persuasive fam	NOT	POS
thats nothing new she was going to vote no anywaywe will vote no to liberals in november	NOT	NEG
burt a cool dude	NOT	POS
maga if you are all in for trump follow me and i will follow back	NOT	POS
thank u im finally at the point where im okay with using heat on it again im so happy	NOT	POS
kind of like what trump does all the time huh	NOT	POS
because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me	NOT	POS
fuck em	OFF	NEG
good movehe is the big loser	OFF	NEG
lets get to the bottom of this dm me your zipcode and ill check it out  we have your back and we will make sure you are enjoying the best that tv has to offer asap nevinbruce	NOT	POS
